x,y,pen_down
549,66,True
565,69,True
581,70,True
598,75,True
614,79,True
630,85,True
647,95,True
663,111,True
673,127,True
688,140,True
704,140,True
720,147,True
737,156,True
753,165,True
769,181,True
786,198,True
796,214,True
804,230,True
810,247,True
815,263,True
815,279,True
820,296,True
825,312,True
825,329,True
829,345,True
829,361,True
824,378,True
818,391,True
822,375,True
823,375,True
817,391,True
817,387,True
817,386,True
820,381,True
822,376,True
823,374,True
819,388,True
821,381,True
837,373,True
845,389,True
850,405,True
854,422,True
859,438,True
861,454,True
861,471,True
861,487,True
861,504,True
861,520,True
861,536,True
845,546,True
835,540,True
851,545,True
860,529,True
860,513,True
860,497,True
860,480,True
860,464,True
860,448,True
857,431,True
860,437,True
858,433,True
859,440,True
859,444,True
859,440,True
860,449,True
860,465,True
859,481,True
859,498,True
859,514,True
858,503,True
858,487,True
858,503,True
859,504,True
859,488,True
860,484,True
860,501,True
860,517,True
859,533,True
846,544,True
858,535,True
858,537,True
857,539,True
860,535,True
858,539,True
841,544,True
837,543,True
837,543,True
840,545,True
840,547,True
843,548,True
843,547,True
845,546,True
861,536,True
862,520,True
863,518,True
863,527,True
862,519,True
862,535,True
861,520,True
861,504,True
862,488,True
862,471,True
862,455,True
862,447,True
863,464,True
863,480,True
864,464,True
863,461,True
862,451,True
862,467,True
862,484,True
861,478,True
861,461,True
861,445,True
855,429,True
851,412,True
855,420,True
852,416,True
854,425,True
854,427,True
855,427,True
852,420,True
849,404,True
846,388,True
847,395,True
848,391,True
849,399,True
847,386,True
847,400,True
847,408,True
847,407,True
850,403,True
850,413,True
845,396,True
845,380,True
839,376,True
842,380,True
840,378,True
836,373,True
826,364,True
826,348,True
828,331,True
826,315,True
826,329,True
827,345,True
827,361,True
828,362,True
828,345,True
828,345,True
828,361,True
827,353,True
828,337,True
827,335,True
827,321,True
828,333,True
826,349,True
825,360,True
826,374,True
830,370,True
833,373,True
833,371,True
843,377,True
845,380,True
845,388,True
835,371,True
825,370,True
829,354,True
826,337,True
824,321,True
821,305,True
821,295,True
822,299,True
823,302,True
821,298,True
821,307,True
823,319,True
822,310,True
822,306,True
824,323,True
825,319,True
820,303,True
820,286,True
816,270,True
816,254,True
817,271,True
817,287,True
818,287,True
818,284,True
818,282,True
817,266,True
816,269,True
820,285,True
820,297,True
815,280,True
814,264,True
813,248,True
812,245,True
813,261,True
813,265,True
812,251,True
813,256,True
814,247,True
811,245,True
814,261,True
815,278,True
815,262,True
810,246,True
805,229,True
808,231,True
806,227,True
808,240,True
808,238,True
809,240,True
805,231,True
796,215,True
801,218,True
795,211,True
794,207,True
797,211,True
802,225,True
800,221,True
796,215,True
804,226,True
792,210,True
780,193,True
764,177,True
748,162,True
757,171,True
773,187,True
789,203,True
781,196,True
789,204,True
784,198,True
767,181,True
751,166,True
753,169,True
754,169,True
762,176,True
746,163,True
759,170,True
775,186,True
789,200,True
773,183,True
763,173,True
780,190,True
775,186,True
759,170,True
762,175,True
778,191,True
792,207,True
793,208,True
780,192,True
764,176,True
747,160,True
731,149,True
728,149,True
731,151,True
728,151,True
729,150,True
733,150,True
737,153,True
741,155,True
736,154,True
744,159,True
748,161,True
731,150,True
715,141,True
698,141,True
694,141,True
710,143,True
711,141,True
713,141,True
707,141,True
724,145,True
720,145,True
726,146,True
711,140,True
695,139,True
679,134,True
675,129,True
691,138,True
705,138,True
688,137,True
677,129,True
684,136,True
697,137,True
689,138,True
675,127,True
681,138,True
677,134,True
688,139,True
704,139,True
702,140,True
685,140,True
671,125,True
660,109,True
643,94,True
653,103,True
669,119,True
663,114,True
669,122,True
658,108,True
645,97,True
649,99,True
643,94,True
660,107,True
667,113,True
651,97,True
662,107,True
662,108,True
659,106,True
650,99,True
666,115,True
671,120,True
672,120,True
656,104,True
639,92,True
623,83,True
630,87,True
630,88,True
631,87,True
622,84,True
635,88,True
635,87,True
641,90,True
634,88,True
640,93,True
624,81,True
607,77,True
609,76,True
609,78,True
611,78,True
606,76,True
623,80,True
619,79,True
617,81,True
618,82,True
602,74,True
586,71,True
573,71,True
589,72,True
603,73,True
597,72,True
590,73,True
594,74,True
579,71,True
595,74,True
605,75,True
588,69,True
572,69,True
556,70,True
539,70,True
523,70,True
507,75,True
490,81,True
474,88,True
457,99,True
446,115,True
436,131,True
423,148,True
407,156,True
391,166,True
381,183,True
372,199,True
360,215,True
355,232,True
339,241,True
337,257,True
339,274,True
331,290,True
328,306,True
335,323,True
340,339,True
340,355,True
340,372,True
340,388,True
345,404,True
352,421,True
358,437,True
363,454,True
359,470,True
366,486,True
377,503,True
377,519,True
381,535,True
385,552,True
394,568,True
400,584,True
395,601,True
411,616,True
414,615,True
419,632,True
425,648,True
433,664,True
446,681,True
458,697,True
474,713,True
491,730,True
507,746,True
524,760,True
540,773,True
556,782,True
573,792,True
589,800,True
605,805,True
622,810,True
638,810,True
654,806,True
671,800,True
687,793,True
703,785,True
720,768,True
736,752,True
752,736,True
763,719,True
778,703,True
789,687,True
799,670,True
807,654,True
814,638,True
821,621,True
826,605,True
828,588,True
830,572,True
830,556,True
826,539,True
826,523,True
823,507,True
822,490,True
826,474,True
840,485,True
846,502,True
848,511,True
843,495,True
843,492,True
845,493,True
851,486,True
855,469,True
855,453,True
850,437,True
843,420,True
837,404,True
826,405,True
821,422,True
821,438,True
821,455,True
813,455,True
807,439,True
805,422,True
802,406,True
797,390,True
792,373,True
786,357,True
781,341,True
764,324,True
748,308,True
736,292,True
736,275,True
729,259,True
721,243,True
719,226,True
714,210,True
705,194,True
695,177,True
679,169,True
663,163,True
646,168,True
630,180,True
613,184,True
597,190,True
581,198,True
564,202,True
548,202,True
532,192,True
524,175,True
518,159,True
502,143,True
485,140,True
469,140,True
453,147,True
440,151,True
428,160,True
412,176,True
402,193,True
394,209,True
387,225,True
387,242,True
387,258,True
387,275,True
381,291,True
371,306,True
354,306,True
362,300,True
378,306,True
395,302,True
411,295,True
419,279,True
422,262,True
426,246,True
442,230,True
459,226,True
475,226,True
491,231,True
508,231,True
524,225,True
540,215,True
548,203,True
564,203,True
570,204,True
553,204,True
547,205,True
536,216,True
530,224,True
546,210,True
537,220,True
537,219,True
539,214,True
534,217,True
537,211,True
521,217,True
504,221,True
488,216,True
472,210,True
455,204,True
439,204,True
423,212,True
409,229,True
405,245,True
405,261,True
410,278,True
410,294,True
411,282,True
414,291,True
413,291,True
412,288,True
405,296,True
409,296,True
409,285,True
408,269,True
406,253,True
405,239,True
408,229,True
406,236,True
407,238,True
407,247,True
407,263,True
408,258,True
408,268,True
407,252,True
408,243,True
406,253,True
406,269,True
408,286,True
408,288,True
408,271,True
408,281,True
410,271,True
409,288,True
410,290,True
410,274,True
404,257,True
404,249,True
405,255,True
409,238,True
414,222,True
430,206,True
437,205,True
431,207,True
435,206,True
422,212,True
413,220,True
425,207,True
417,214,True
422,210,True
414,219,True
426,208,True
418,218,True
412,227,True
412,229,True
415,221,True
409,232,True
419,216,True
435,203,True
452,203,True
454,202,True
438,202,True
451,201,True
447,202,True
453,203,True
436,203,True
444,204,True
460,205,True
475,209,True
466,205,True
473,208,True
458,206,True
462,206,True
458,205,True
463,204,True
479,212,True
490,215,True
483,212,True
486,215,True
477,212,True
481,215,True
475,210,True
492,217,True
508,220,True
524,218,True
515,219,True
502,217,True
507,219,True
504,220,True
514,220,True
516,218,True
525,218,True
509,220,True
493,218,True
496,218,True
496,217,True
490,216,True
507,221,True
523,216,True
540,209,True
536,213,True
540,209,True
527,214,True
533,212,True
535,211,True
524,216,True
534,214,True
537,214,True
538,215,True
536,218,True
530,222,True
544,205,True
559,205,True
559,205,True
558,204,True
572,203,True
556,203,True
543,205,True
534,221,True
517,228,True
501,230,True
485,230,True
468,227,True
452,227,True
436,237,True
427,254,True
432,242,True
429,248,True
427,253,True
434,237,True
438,232,True
434,235,True
432,236,True
430,239,True
440,231,True
430,243,True
446,228,True
453,228,True
447,229,True
443,230,True
460,227,True
476,228,True
475,229,True
479,228,True
467,227,True
484,227,True
500,229,True
516,230,True
520,226,True
515,230,True
499,229,True
484,228,True
488,229,True
490,230,True
507,230,True
523,227,True
525,227,True
530,225,True
514,231,True
498,232,True
499,232,True
511,232,True
501,231,True
484,230,True
468,225,True
451,225,True
463,224,True
469,225,True
466,226,True
450,226,True
434,238,True
425,255,True
422,271,True
425,261,True
424,262,True
422,266,True
424,254,True
424,257,True
425,251,True
423,261,True
419,278,True
417,283,True
418,284,True
418,283,True
418,275,True
416,280,True
421,268,True
415,284,True
405,300,True
389,304,True
373,304,True
369,304,True
372,301,True
387,304,True
403,299,True
393,303,True
395,301,True
385,304,True
369,303,True
353,301,True
354,302,True
365,303,True
362,303,True
361,302,True
357,305,True
361,301,True
374,300,True
376,303,True
377,299,True
364,303,True
380,305,True
397,302,True
401,301,True
403,300,True
396,301,True
384,317,True
379,333,True
379,350,True
384,366,True
384,382,True
384,399,True
379,415,True
379,431,True
379,448,True
384,464,True
389,480,True
391,497,True
394,513,True
394,529,True
398,546,True
398,562,True
397,579,True
395,595,True
401,611,True
407,612,True
397,605,True
398,607,True
400,608,True
404,613,True
412,615,True
408,616,True
399,604,True
394,589,True
396,589,True
397,597,True
397,593,True
397,602,True
399,586,True
397,575,True
399,581,True
398,585,True
400,573,True
399,556,True
400,556,True
401,567,True
400,569,True
399,553,True
399,570,True
393,562,True
397,560,True
398,543,True
395,527,True
395,511,True
396,512,True
396,528,True
397,544,True
396,551,True
396,545,True
396,540,True
397,534,True
397,518,True
398,524,True
397,529,True
396,529,True
396,512,True
395,516,True
395,532,True
397,549,True
397,565,True
397,567,True
393,566,True
398,564,True
398,548,True
394,531,True
393,515,True
394,499,True
390,484,True
392,494,True
391,490,True
392,501,True
391,501,True
390,499,True
393,510,True
394,508,True
389,492,True
386,475,True
385,459,True
387,475,True
386,473,True
385,468,True
387,485,True
386,481,True
388,479,True
389,488,True
384,472,True
383,456,True
380,439,True
380,423,True
380,407,True
383,390,True
383,374,True
383,358,True
380,341,True
380,325,True
383,323,True
382,325,True
382,320,True
383,332,True
381,349,True
382,341,True
381,332,True
382,348,True
381,350,True
382,333,True
380,339,True
380,355,True
381,360,True
382,358,True
383,354,True
383,371,True
383,387,True
380,402,True
382,399,True
382,394,True
383,396,True
381,413,True
382,411,True
382,411,True
380,408,True
380,424,True
381,441,True
383,450,True
380,449,True
381,442,True
380,434,True
382,450,True
382,465,True
382,455,True
380,453,True
383,468,True
384,458,True
378,442,True
378,425,True
378,409,True
377,425,True
377,430,True
378,416,True
378,432,True
379,441,True
379,425,True
379,409,True
385,392,True
385,376,True
385,363,True
386,379,True
386,383,True
386,366,True
385,380,True
384,396,True
384,379,True
384,363,True
379,347,True
380,330,True
385,314,True
380,307,True
387,308,True
381,308,True
389,309,True
386,313,True
387,314,True
385,320,True
388,309,True
378,306,True
