x,y,pen_down
4,9,True
4,9,False
722,144,False
722,144,False
652,148,False
652,148,False
646,152,False
646,152,False
795,153,False
795,153,False
732,154,False
732,154,False
774,156,False
774,156,False
731,159,False
731,159,False
800,159,False
800,159,False
748,163,False
748,163,False
766,165,False
766,165,False
833,171,False
833,171,False
669,173,False
669,173,False
677,174,False
677,174,False
741,175,False
741,175,False
861,176,False
861,176,False
836,177,False
836,177,False
852,181,False
852,181,False
763,183,False
763,183,False
689,187,False
689,187,False
693,187,False
693,187,False
622,188,False
622,188,False
765,189,False
765,189,False
909,191,False
909,191,False
608,194,False
608,194,False
684,195,False
684,195,False
778,197,False
778,197,False
662,198,False
662,198,False
777,201,False
777,201,False
938,201,False
938,201,False
585,202,False
585,202,False
871,202,False
871,202,False
817,203,False
817,203,False
591,204,False
591,204,False
602,204,False
602,204,False
910,204,False
910,204,False
769,205,False
769,205,False
606,206,False
606,206,False
772,208,False
772,208,False
765,209,False
765,209,False
949,209,False
949,209,False
575,210,False
575,210,False
920,211,False
920,211,False
578,213,False
578,213,False
789,213,False
789,213,False
617,214,False
617,214,False
632,216,False
632,216,False
578,218,False
578,218,False
859,218,False
859,218,False
535,219,False
535,219,False
704,220,False
704,220,False
727,220,False
727,220,False
871,220,False
871,220,False
797,222,False
797,222,False
851,222,False
851,222,False
910,222,False
910,222,False
604,224,False
604,224,False
516,226,False
516,226,False
650,227,False
650,227,False
706,227,False
706,227,False
925,228,False
925,228,False
728,229,False
728,229,False
509,230,False
509,230,False
800,230,False
800,230,False
835,230,False
835,230,False
503,231,False
503,231,False
934,231,False
934,231,False
730,232,False
730,232,False
937,233,False
937,233,False
1014,237,False
1014,237,False
779,238,False
779,238,False
759,240,False
759,240,False
904,240,False
904,240,False
1000,241,False
1000,241,False
1038,242,False
1038,242,False
492,244,False
492,244,False
869,244,False
869,244,False
988,245,False
988,245,False
881,246,False
881,246,False
892,246,False
892,246,False
556,248,False
556,248,False
628,248,False
628,248,False
809,248,False
809,248,False
492,249,False
492,249,False
497,249,False
497,249,False
576,250,False
576,250,False
977,250,False
977,250,False
484,251,False
484,251,False
899,251,False
899,251,False
522,252,False
522,252,False
541,252,False
541,252,False
961,252,False
961,252,False
431,253,False
431,253,False
697,254,False
697,254,False
946,254,False
946,254,False
958,254,False
958,254,False
969,254,False
969,254,False
892,255,False
892,255,False
820,256,False
820,256,False
914,257,False
914,257,False
982,257,False
982,257,False
824,259,False
824,259,False
814,260,False
814,260,False
888,260,False
888,260,False
1077,260,False
1077,260,False
426,262,False
426,262,False
688,262,False
688,262,False
725,263,False
725,263,False
756,266,False
756,266,False
1501,267,False
1501,267,False
892,268,False
892,268,False
651,270,False
651,270,False
733,270,False
733,270,False
543,271,False
543,271,False
541,272,False
541,272,False
452,273,False
452,273,False
584,273,False
584,273,False
490,274,False
490,274,False
903,274,False
903,274,False
446,275,False
446,275,False
528,275,False
528,275,False
441,276,False
441,276,False
475,276,False
475,276,False
757,276,False
757,276,False
1463,276,False
1463,276,False
1012,279,False
1012,279,False
1132,279,False
1132,279,False
682,280,False
682,280,False
704,280,False
704,280,False
740,280,False
740,280,False
942,280,False
942,280,False
1360,280,False
1360,280,False
1402,280,False
1402,280,False
670,281,False
670,281,False
557,282,False
557,282,False
567,282,False
567,282,False
559,283,False
559,283,False
571,284,False
571,284,False
388,285,False
388,285,False
811,285,False
811,285,False
419,286,False
419,286,False
903,286,False
903,286,False
358,287,False
358,287,False
620,287,False
620,287,False
745,287,False
745,287,False
1456,287,False
1456,287,False
672,288,False
672,288,False
826,288,False
826,288,False
847,288,False
847,288,False
557,289,False
557,289,False
837,290,False
837,290,False
859,290,False
859,290,False
937,290,False
937,290,False
1460,290,False
1460,290,False
475,291,False
475,291,False
543,291,False
543,291,False
810,291,False
810,291,False
931,291,False
931,291,False
569,292,False
569,292,False
726,292,False
726,292,False
1361,292,False
1361,292,False
1426,293,False
1426,293,False
322,294,False
322,294,False
535,294,False
535,294,False
823,295,False
823,295,False
828,295,False
828,295,False
930,295,False
930,295,False
1327,295,False
1327,295,False
1492,295,False
1492,295,False
753,296,False
753,296,False
872,296,False
872,296,False
957,296,False
957,296,False
576,297,False
576,297,False
885,298,False
885,298,False
441,300,False
441,300,False
819,300,False
819,300,False
1107,300,False
1107,300,False
1141,300,False
1141,300,False
291,301,False
291,301,False
737,301,False
737,301,False
816,301,False
816,301,False
1009,301,False
1009,301,False
319,304,False
319,304,False
445,305,False
445,305,False
709,305,False
709,305,False
1009,305,False
1009,305,False
1113,305,False
1113,305,False
466,306,False
466,306,False
751,306,False
751,306,False
885,306,False
885,306,False
887,309,False
887,309,False
843,312,False
843,312,False
879,312,False
879,312,False
1436,312,False
1436,312,False
1482,312,False
1482,312,False
968,313,False
968,313,False
1119,313,False
1119,313,False
1144,313,False
1144,313,False
248,314,False
248,314,False
818,314,False
818,314,False
973,315,False
973,315,False
1273,316,False
1273,316,False
1278,316,False
1278,316,False
278,317,False
278,317,False
868,317,False
868,317,False
1476,317,False
1476,317,False
606,318,False
606,318,False
1453,319,False
1453,319,False
357,320,False
357,320,False
1053,320,False
1053,320,False
278,321,False
278,321,False
527,321,False
527,321,False
237,322,False
237,322,False
268,322,False
268,322,False
718,323,False
718,323,False
785,323,False
785,323,False
1358,323,False
1358,323,False
486,324,False
486,324,False
505,325,False
505,325,False
1495,325,False
1495,325,False
1520,326,False
1520,326,False
1083,327,False
1083,327,False
1327,327,False
1327,327,False
1511,328,False
1511,328,False
231,330,False
231,330,False
626,330,False
626,330,False
1187,330,False
1187,330,False
1027,331,False
1027,331,False
1226,332,False
1226,332,False
638,334,False
638,334,False
804,334,False
804,334,False
1414,334,False
1414,334,False
1304,335,False
1304,335,False
1342,335,False
1342,335,False
468,336,False
468,336,False
611,336,False
611,336,False
244,337,False
244,337,False
316,337,False
316,337,False
777,337,False
777,337,False
896,337,False
896,337,False
905,337,False
905,337,False
1314,337,False
1314,337,False
1259,338,False
1259,338,False
503,339,False
503,339,False
1495,339,False
1495,339,False
508,340,False
508,340,False
865,340,False
865,340,False
953,340,False
953,340,False
582,341,False
582,341,False
617,341,False
617,341,False
1081,341,False
1081,341,False
1209,342,False
1209,342,False
1344,342,False
1344,342,False
1019,344,False
1019,344,False
279,345,False
279,345,False
1066,345,False
1066,345,False
1303,345,False
1303,345,False
269,346,False
269,346,False
641,346,False
641,346,False
632,348,False
632,348,False
1322,348,False
1322,348,False
564,350,False
564,350,False
1512,350,False
1512,350,False
115,351,False
115,351,False
708,351,False
708,351,False
1191,351,False
1191,351,False
319,353,False
319,353,False
677,354,False
677,354,False
1025,354,False
1025,354,False
492,355,False
492,355,False
1315,356,False
1315,356,False
742,357,False
742,357,False
543,358,False
543,358,False
1240,358,False
1240,358,False
520,359,False
520,359,False
703,359,False
703,359,False
121,360,False
121,360,False
1397,360,False
1397,360,False
1303,361,False
1303,361,False
797,362,False
797,362,False
1026,362,False
1026,362,False
850,364,False
850,364,False
726,366,False
726,366,False
831,366,False
831,366,False
874,366,False
874,366,False
1245,367,False
1245,367,False
689,368,False
689,368,False
1147,368,False
1147,368,False
375,369,False
375,369,False
543,370,False
543,370,False
699,370,False
699,370,False
770,370,False
770,370,False
1022,370,False
1022,370,False
1322,370,False
1322,370,False
863,371,False
863,371,False
1136,372,False
1136,372,False
621,373,False
621,373,False
800,373,False
800,373,False
498,374,False
498,374,False
686,375,False
686,375,False
1268,377,False
1268,377,False
420,378,False
420,378,False
1143,378,False
1143,378,False
1481,378,False
1481,378,False
169,379,False
169,379,False
493,379,False
493,379,False
860,380,False
860,380,False
56,382,False
56,382,False
334,382,False
334,382,False
736,383,False
736,383,False
1416,383,False
1416,383,False
913,384,False
913,384,False
820,385,False
820,385,False
911,385,False
911,385,False
944,385,False
944,385,False
11,386,False
11,386,False
417,386,False
417,386,False
1056,386,False
1056,386,False
292,387,False
292,387,False
1170,387,False
1170,387,False
1248,387,False
1248,387,False
200,388,False
200,388,False
505,388,False
505,388,False
535,389,False
535,389,False
644,389,False
644,389,False
686,390,False
686,390,False
1018,390,False
1018,390,False
755,391,False
755,391,False
772,391,False
772,391,False
874,391,False
874,391,False
292,392,False
292,392,False
624,392,False
624,392,False
1037,392,False
1037,392,False
740,394,False
740,394,False
1175,395,False
1175,395,False
704,396,False
704,396,False
1006,396,False
1006,396,False
1116,396,False
1116,396,False
321,397,False
321,397,False
434,398,False
434,398,False
867,398,False
867,398,False
167,399,False
167,399,False
562,399,False
562,399,False
216,400,False
216,400,False
433,400,False
433,400,False
477,400,False
477,400,False
677,400,False
677,400,False
87,401,False
87,401,False
1168,401,False
1168,401,False
1335,401,False
1335,401,False
754,402,False
754,402,False
1344,402,False
1344,402,False
407,403,False
407,403,False
671,403,False
671,403,False
687,403,False
687,403,False
711,403,False
711,403,False
120,404,False
120,404,False
193,404,False
193,404,False
899,404,False
899,404,False
505,405,False
505,405,False
764,405,False
764,405,False
140,407,False
140,407,False
1204,407,False
1204,407,False
25,409,False
25,409,False
425,409,False
425,409,False
740,409,False
740,409,False
571,410,False
571,410,False
1093,411,False
1093,411,False
444,412,False
444,412,False
460,412,False
460,412,False
91,413,False
91,413,False
750,413,False
750,413,False
756,413,False
756,413,False
14,414,False
14,414,False
1290,414,False
1290,414,False
362,415,False
362,415,False
483,415,False
483,415,False
487,415,False
487,415,False
1486,415,False
1486,415,False
750,416,False
750,416,False
921,416,False
921,416,False
1237,416,False
1237,416,False
21,417,False
21,417,False
553,417,False
553,417,False
9,418,False
9,418,False
452,418,False
452,418,False
66,419,False
66,419,False
25,420,False
25,420,False
290,420,False
290,420,False
360,420,False
360,420,False
386,420,False
386,420,False
579,420,False
579,420,False
650,420,False
650,420,False
1406,420,False
1406,420,False
218,421,False
218,421,False
458,421,False
458,421,False
352,422,False
352,422,False
410,422,False
410,422,False
273,423,False
273,423,False
375,423,False
375,423,False
1283,423,False
1283,423,False
589,425,False
589,425,False
756,425,False
756,425,False
1294,425,False
1294,425,False
760,426,False
760,426,False
1278,426,False
1278,426,False
1464,426,False
1464,426,False
217,427,False
217,427,False
738,427,False
738,427,False
384,428,False
384,428,False
546,429,False
546,429,False
549,429,False
549,429,False
1332,429,False
1332,429,False
686,430,False
686,430,False
699,430,False
699,430,False
1006,430,False
1006,430,False
455,431,False
455,431,False
556,431,False
556,431,False
669,431,False
669,431,False
1002,431,False
1002,431,False
110,432,False
110,432,False
206,432,False
206,432,False
219,432,False
219,432,False
89,434,False
89,434,False
193,434,False
193,434,False
295,434,False
295,434,False
395,434,False
395,434,False
458,434,False
458,434,False
749,434,False
749,434,False
484,435,False
484,435,False
1012,435,False
1012,435,False
73,436,False
73,436,False
608,436,False
608,436,False
940,436,False
940,436,False
1023,436,False
1023,436,False
1129,436,False
1129,436,False
1097,437,False
1097,437,False
1380,437,False
1380,437,False
357,439,False
357,439,False
1343,439,False
1343,439,False
1448,439,False
1448,439,False
93,440,False
93,440,False
239,440,False
239,440,False
511,441,False
511,441,False
585,441,False
585,441,False
939,441,False
939,441,False
1084,441,False
1084,441,False
1099,441,False
1099,441,False
1065,443,False
1065,443,False
755,444,False
755,444,False
784,444,False
784,444,False
1102,444,False
1102,444,False
28,445,False
28,445,False
1346,445,False
1346,445,False
368,446,False
368,446,False
1023,446,False
1023,446,False
1026,446,False
1026,446,False
110,447,False
110,447,False
361,447,False
361,447,False
1337,447,False
1337,447,False
1386,447,False
1386,447,False
582,449,False
582,449,False
1110,449,False
1110,449,False
1412,449,False
1412,449,False
390,450,False
390,450,False
1100,450,False
1100,450,False
369,451,False
369,451,False
541,451,False
541,451,False
727,451,False
727,451,False
9,452,False
9,452,False
171,452,False
171,452,False
938,452,False
938,452,False
1095,452,False
1095,452,False
1178,452,False
1178,452,False
1300,452,False
1300,452,False
285,453,False
285,453,False
724,453,False
724,453,False
858,453,False
858,453,False
552,454,False
552,454,False
604,454,False
604,454,False
272,455,False
272,455,False
517,455,False
517,455,False
1090,455,False
1090,455,False
231,456,False
231,456,False
485,456,False
485,456,False
740,456,False
740,456,False
781,456,False
781,456,False
1335,456,False
1335,456,False
50,459,False
50,459,False
124,459,False
124,459,False
448,459,False
448,459,False
714,459,False
714,459,False
1387,459,False
1387,459,False
1102,460,False
1102,460,False
360,461,False
360,461,False
328,462,False
328,462,False
516,462,False
516,462,False
634,462,False
634,462,False
1095,462,False
1095,462,False
1113,462,False
1113,462,False
1370,462,False
1370,462,False
74,463,False
74,463,False
82,463,False
82,463,False
251,463,False
251,463,False
913,463,False
913,463,False
1248,463,False
1248,463,False
1336,463,False
1336,463,False
359,464,False
359,464,False
1386,464,False
1386,464,False
514,465,False
514,465,False
1231,465,False
1231,465,False
1252,465,False
1252,465,False
1410,465,False
1410,465,False
403,466,False
403,466,False
1116,466,False
1116,466,False
214,467,False
214,467,False
279,467,False
279,467,False
738,467,False
738,467,False
1239,467,False
1239,467,False
482,468,False
482,468,False
753,468,False
753,468,False
939,468,False
939,468,False
140,469,False
140,469,False
865,469,False
865,469,False
204,470,False
204,470,False
342,470,False
342,470,False
519,470,False
519,470,False
1091,470,False
1091,470,False
284,471,False
284,471,False
741,471,False
741,471,False
1032,471,False
1032,471,False
1411,471,False
1411,471,False
668,472,False
668,472,False
930,472,False
930,472,False
240,473,False
240,473,False
515,473,False
515,473,False
900,473,False
900,473,False
446,474,False
446,474,False
727,474,False
727,474,False
863,475,False
863,475,False
1112,476,False
1112,476,False
742,477,False
742,477,False
974,477,False
974,477,False
555,478,False
555,478,False
1247,478,False
1247,478,False
214,479,False
214,479,False
370,479,False
370,479,False
447,479,False
447,479,False
639,479,False
639,479,False
708,479,False
708,479,False
1121,479,False
1121,479,False
1292,479,False
1292,479,False
76,480,False
76,480,False
248,480,False
248,480,False
281,480,False
281,480,False
908,480,False
908,480,False
245,481,False
245,481,False
599,481,False
599,481,False
665,481,False
665,481,False
81,482,False
81,482,False
156,482,False
156,482,False
515,482,False
515,482,False
740,482,False
740,482,False
1070,482,False
1070,482,False
1411,482,False
1411,482,False
1506,482,False
1506,482,False
1193,483,False
1193,483,False
1369,483,False
1369,483,False
379,484,False
379,484,False
486,484,False
486,484,False
496,484,False
496,484,False
520,484,False
520,484,False
1450,484,False
1450,484,False
48,485,False
48,485,False
232,485,False
232,485,False
447,485,False
447,485,False
640,485,False
640,485,False
725,485,False
725,485,False
1281,485,False
1281,485,False
104,486,False
104,486,False
140,486,False
140,486,False
173,486,False
173,486,False
720,486,False
720,486,False
1245,486,False
1245,486,False
1253,486,False
1253,486,False
1144,487,False
1144,487,False
941,488,False
941,488,False
284,489,False
284,489,False
472,489,False
472,489,False
597,489,False
597,489,False
641,489,False
641,489,False
1409,489,False
1409,489,False
55,490,False
55,490,False
554,490,False
554,490,False
957,490,False
957,490,False
571,491,False
571,491,False
951,491,False
951,491,False
1114,491,False
1114,491,False
1188,491,False
1188,491,False
1449,491,False
1449,491,False
1522,491,False
1522,491,False
42,492,False
42,492,False
380,492,False
380,492,False
434,492,False
434,492,False
727,492,False
727,492,False
523,494,False
523,494,False
1127,494,False
1127,494,False
476,495,False
476,495,False
702,495,False
702,495,False
860,495,False
860,495,False
576,496,False
576,496,False
749,496,False
749,496,False
851,496,False
851,496,False
1479,496,False
1479,496,False
100,497,False
100,497,False
555,497,False
555,497,False
835,497,False
835,497,False
947,497,False
947,497,False
1196,497,False
1196,497,False
193,498,False
193,498,False
435,498,False
435,498,False
468,498,False
468,498,False
641,498,False
641,498,False
458,499,False
458,499,False
1159,499,False
1159,499,False
1253,499,False
1253,499,False
26,500,False
26,500,False
431,500,False
431,500,False
772,500,False
772,500,False
1068,500,False
1068,500,False
1189,500,False
1189,500,False
1413,500,False
1413,500,False
187,501,False
187,501,False
555,501,False
555,501,False
746,501,False
746,501,False
968,501,False
968,501,False
1063,501,False
1063,501,False
1132,501,False
1132,501,False
1145,501,False
1145,501,False
89,502,False
89,502,False
576,502,False
576,502,False
645,502,False
645,502,False
520,503,False
520,503,False
778,503,False
778,503,False
849,503,False
849,503,False
1249,503,False
1249,503,False
77,504,False
77,504,False
1241,504,False
